Country;Attribute;Covid_Stringency
South Africa;2022;24,33413699
South Korea;2020;49,97574586
South Korea;2021;51,27865753
South Korea;2022;21,52112329
South Sudan;2020;53,71809392
South Sudan;2021;45,30717808
South Sudan;2022;22,53583562
Spain;2020;56,89395028
Spain;2021;55,43775342
Spain;2022;23,136
Sri Lanka;2020;47,99966851
Sri Lanka;2021;72,74479452
Sri Lanka;2022;33,44041096
Sudan;2020;50,66676796
Sudan;2021;30,53090411
Sudan;2022;7,638520548
Suriname;2020;59,57751381
Suriname;2021;72,94580822
Suriname;2022;30,85742466
Sweden;2020;49,54737569
Sweden;2021;46,22523288
Sweden;2022;14,80323288
Switzerland;2020;42,75245856
Switzerland;2021;51,87835616
Switzerland;2022;14,89435616
Syria;2020;50,05378453
Syria;2021;38,77747945
Syria;2022;24,22005479
Taiwan;2020;24,71854701
Taiwan;2021;40,87468493
Taiwan;2022;24,67657534
Tajikistan;2020;37,76997238
Tajikistan;2021;34,1450411
Tajikistan;2022;12,11115068
Tanzania;2020;23,49085635
Tanzania;2021;12,24427397
Tanzania;2022;9,36739726
Thailand;2020;46,50008264
Thailand;2021;55,72676712
Thailand;2022;27,03709589
Togo;2020;47,34779006
Togo;2021;47,96728767
Togo;2022;35,79227397
Tonga;2020;40,65063536
Tonga;2021;46,01542466
Tonga;2022;50,60887671
Trinidad and Tobago;2020;60,08803867
Trinidad and Tobago;2021;72,47964384
Trinidad and Tobago;2022;24,48687671
Tunisia;2020;45,01969613
Tunisia;2021;61,21356164
Tunisia;2022;42,37967123
Turkey;2020;55,17447514
Turkey;2021;55,52723288
Turkey;2022;16,24328767
Turkmenistan;2020;41,25856354
Turkmenistan;2021;61,14893151
Turkmenistan;2022;44,62293151
Uganda;2020;63,26607735
Uganda;2021;63,78145205
Uganda;2022;34,9129863
Ukraine;2020;53,72842541
Ukraine;2021;55,13791781
Ukraine;2022;16,17509589
United Arab Emirates;2020;50,96588398
United Arab Emirates;2021;51,08317808
United Arab Emirates;2022;31,20030137
United Kingdom;2020;57,53756906
United Kingdom;2021;57,81564384
United Kingdom;2022;14,44430137
United States;2020;57,745
United States;2021;56,41545205
United States;2022;31,65652055
Uruguay;2020;40,64096685
Uruguay;2021;56,92843836
Uruguay;2022;15,25594521
Uzbekistan;2020;51,37765193
Uzbekistan;2021;44,61241096
Uzbekistan;2022;20,52731507
Vanuatu;2020;34,93008287
Vanuatu;2021;21,28394521
Vanuatu;2022;31,88964384
Venezuela;2020;68,76209945
Venezuela;2021;77,7290411
Venezuela;2022;19,82958904
Vietnam;2020;58,30436464
Vietnam;2021;69,14849315
Vietnam;2022;37,22457534
Yemen;2020;31,60629834
Yemen;2021;31,49641096
Yemen;2022;13,57430137
Zambia;2020;38,74008287
Zambia;2021;41,56734247
Zambia;2022;15,47268493
Zimbabwe;2020;61,74267956
Zimbabwe;2021;61,88493151
Zimbabwe;2022;51,83391781
